"collection_gid","collection_id","title","handle","updated_at","product_count","vendors","shop","exported_at"
"gid://shopify/Collection/206694711460","206694711460","Lighting","lighting","2026-02-13T12:11:22Z","10000","Vendor27;Vendor35;Vendor36;Vendor15","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/206696808612","206696808612","Chandeliers","lighting-chandeliers","2026-02-13T12:11:22Z","9000","Vendor39;Vendor8","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/206787248292","206787248292","Outdoor Lighting","all-lighting-outdoor","2026-02-13T12:11:22Z","8000","Vendor42","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/206923268260","206923268260","Gifts","gifts","2026-02-10T02:10:41Z","7000","Vendor25;Vendor35","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/207236858020","207236858020","Lighting Floor Lamps","lighting-floor-lamps","2026-02-13T10:38:42Z","6000","Vendor34;Vendor31;Vendor41","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/207238070436","207238070436","All Ceiling Lighting","all-ceiling-lighting","2026-02-13T12:11:22Z","5000","Vendor20;Vendor2;Vendor12","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/207238398116","207238398116","Outdoor Wall Lights","lighting-outdoor-wall-lights","2026-02-13T12:11:22Z","4000","Vendor31","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/209086054564","209086054564","Lothantique","lothantique","2026-01-12T04:28:13Z","3000","Vendor26;Vendor36;Vendor28","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/209091657892","209091657892","Self Care","self-care","2026-01-12T04:28:13Z","2000","Vendor12;Vendor42","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/216600051876","216600051876","Brault & Martineau","brault-martineau","2026-02-10T01:27:45Z","1000","Vendor11","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/237307560100","237307560100","Kitchen Serveware","kitchen-serveware","2026-02-12T10:38:35Z","976","Vendor10","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/237419954340","237419954340","Bathroom Robe & Towel Hooks","bathroom-robe-towel-hooks","2026-02-03T02:22:43Z","975","Vendor33","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/237417136292","237417136292","Bathroom Vanity Trays","bathroom-vanity-trays","2026-01-12T04:28:16Z","958","Vendor46;Vendor11","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/233343254692","233343254692","Decor","decor","2026-02-13T12:11:22Z","919","Vendor15;Vendor30;Vendor49","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/237210075300","237210075300","Trays, Boards, & Bowls","kitchen-grazing-boards","2026-02-12T10:39:12Z","910","Vendor12;Vendor44;Vendor2;Vendor5","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/237327777956","237327777956","All Kitchen Tabletop","all-kitchen-tabletop","2026-02-12T10:39:12Z","887","Vendor48","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/233344696484","233344696484","All Bathroom Accessories","all-bathroom-accessories","2026-02-10T02:10:40Z","873","Vendor33;Vendor25","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/237383647396","237383647396","Soap/Lotion Dispensers","bathroom-soap-lotion-dispensers","2026-02-10T02:10:39Z","866","Vendor7","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/233342861476","233342861476","Furniture","furniture","2026-02-12T12:08:33Z","860","Vendor20;Vendor13;Vendor47;Vendor38","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/237327286436","237327286436","Kitchen Bar Essentials","kitchen-bar-essentials","2026-02-11T10:46:54Z","842","Vendor41;Vendor24;Vendor37","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/237327122596","237327122596","Kitchen Glassware","kitchen-glassware","2026-02-10T01:56:44Z","782","Vendor38;Vendor15;Vendor18","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/237420249252","237420249252","All Bathroom Hardware","all-bathroom-hardware","2026-01-24T11:07:25Z","761","Vendor3","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/237417431204","237417431204","Bathroom Vanity Mirrors","bathroom-vanity-mirrors","2026-01-12T04:28:16Z","752","Vendor35;Vendor7","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/237328236708","237328236708","Decorative Canisters","kitchen-canisters","2026-02-10T01:57:21Z","721","Vendor5;Vendor9","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/233367666852","233367666852","Kitchen Small Appliances","kitchen-small-appliances","2026-01-12T04:28:14Z","694","Vendor28;Vendor41;Vendor3","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/233345613988","233345613988","Picture Frames","decor-picture-frames","2026-02-10T01:23:21Z","692","Vendor28;Vendor46","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
"gid://shopify/Collection/233368256676","233368256676","Furniture Throw Pillows","furniture-throw-pillows","2026-02-12T10:38:26Z","687","Vendor47;Vendor31","unionluminaires.myshopify.com","2026-02-13T20:00:43+00:00"
